pulse;butterworth
1023;835
0;906
0;867
0;711
0;513
1023;343
1023;295
1023;393
1023;557
1023;713
1023;832
0;905
0;872
0;720
0;521
1023;349
1023;294
1023;386
1023;549
1023;706
1023;827
0;903
0;876
0;728
0;530
1023;355
1023;292
1023;380
1023;542
1023;700
1023;823
0;901
0;881
0;736
0;540
1023;361
1023;291
1023;375
1023;535
1023;694
1023;818
0;899
0;884
0;745
0;548
1023;368
1023;291
1023;368
1023;527
1023;687
1023;813
0;897
0;888
0;753
0;557
1022;375
1023;291
1023;363
1023;519
1023;681
1023;809
0;894
0;891
0;761
0;566
1023;381
1023;292
1023;357
1023;512
1023;674
1023;803
0;892
0;893
0;768
0;575
1023;388
1023;292
1023;351
1023;505
1023;668
1023;799
0;890
0;897
0;776
0;583
1023;396
1023;293
1023;346
1023;497
1023;662
1023;794
0;886
0;899
0;784
0;592
1023;404
1023;294
1023;341
1023;490
1023;655
1023;789
0;883
0;902
0;791
0;602
1023;411
1023;296
1023;335
1023;482
1023;648
1023;784
0;880
0;903
0;799
0;611
1023;420
1023;298
1023;331
1023;475
1023;639
1023;778
0;876
0;906
0;805
0;621
1023;428
1023;299
1023;326
1023;466
1023;633
1023;774
0;873
0;907
0;813
0;630
1023;436
1023;302
1023;322
1023;459
1023;626
1023;767
0;869
0;908
0;819
0;638
1023;444
1023;306
1023;318
1023;452
1023;619
1023;763
0;866
0;909
0;827
0;647
1022;452
1023;309
1023;315
1023;445
1023;612
1023;757
0;861
0;909
0;832
0;657
1022;460
1023;313
1023;312
1023;438
1023;605
1023;751
0;858
0;909
0;839
0;664
0;468
1023;318
1023;307
1023;429
1023;596
1023;743
1023;854
0;908
0;845
0;673
0;476
1023;322
1023;304
1023;422
1023;588
1023;738
